Amy, is a high school student applying to college. Amy believes she can control the outcome of her college admissions by crafting a quality application. Amy completes and submits her college applications. Amy gets into Harvard and is rejected from Stanford.;Amy feels joyful. What did Amy want?;Amy wanted to go to Harvard, and did not wish to attend Stanford because she wanted to be closer to home. ;Amy wanted to go to Stanford, and hoped that she was admitted. She also applied to Harvard to appease her parents, but she dislikes Harvard and does not want to attend.
Johnny is a high school student on the baseball team. He is currently preparing for the conference finals. Johnny believes he can control his chances at getting an offer. Johnny invites coaches from university baseball teams and from Minor League Baseball teams to watch him play at the conference finals. Johnny receives offers from Minor League teams, but no university teams.;Johnny feels joyful. What kind of teams did Johnny wish to receive offers from?;Johnny's goal was to receive offers from the Minor Leagues, so he could train and play with an MLB-affiliated team. He did not wish to play university baseball.;Johnny's goal was to receive offers from University teams, so he could train in college and have a chance of getting drafted to the MLB. He did not want to play in the Minor Leagues.
Emma is a young woman living in a small town. She recently graduated from college and is looking for a job. Emma believes that she can control where she finds a job. Emma applies to various jobs. Emma finds a promising job in the big city and cannot find one in her hometown.;Emma feels joyful. What did Emma want for her future?;Emma wanted to move to the big city because she believes it will provide her with better career opportunities and personal growth. She did not want to stay in her hometown because she fears stagnation.;Emma wanted to stay in her hometown because she values her close relationships with family and friends. She did not want to move to the big city because she fears losing those connections.
Ben, a freelance graphic designer, is working from home and wants to increase his client base. Ben believes he can control the types of clients he acquires. Ben creates an online portfolio showcasing his work and shares it on social media platforms. Ben attracts high-profile clients who require graphic design work for their multinational corporations but does not find local clients.;Ben feels joyful. What kind of clients did Ben want to work with?;Ben wanted to work with high-profile clients because he believes it will provide him with better career opportunities and financial stability. He does not want to work with local clients because he fears stagnation.;Ben wanted to work with local clients because he values supporting small businesses and enjoys building personal relationships with his clients. He did not want to work with high-profile clients because he fears he won't be able to handle the pressure.
Ivan, a young man who recently started going to the gym, wants to improve his physical fitness and make new friends. Ivan believes that by attending the group fitness class regularly, he can control his physical fitness improvement and the number of friends he makes. Ivan attends a group fitness class at the gym. Ivan becomes friends with other members of the group fitness class but is unable to improve his physical fitness.;Ivan feels joyful. What was Ivan's primary goal at the gym?;Ivan's primary goal was to make friends at the gym, and he believed attending group fitness classes would help him meet like-minded people. He was less concerned about improving his physical fitness.;Ivan's primary goal was to improve his physical fitness, and he believed attending group fitness classes would help him achieve this. He was less concerned about making friends at the gym.
Gary is a high school student who is passionate about music and dreams of becoming a professional musician. He is considering whether to join the school band or the school choir to gain more experience and exposure. Gary believes that he can control his chances of being accepted into either group by preparing well for the auditions and showcasing his talent. Gary auditions for both the school band and the school choir. Gary is accepted into the school choir but not the band.;Gary feels joyful. What did Gary want for his musical future?;Gary wanted to join the school choir because he believes it will help him improve his vocal skills and provide him with opportunities to perform in various events. He did not want to join the school band because he thinks it may not give him enough time to focus on his individual music practice.;Gary wanted to join the school band because he believes it will help him develop his skills as a musician and provide him with opportunities to perform in various events. He did not want to join the school choir because he is not as confident in his singing abilities.
Max, a high school student who loves fashion, is at the mall to find a new outfit for an upcoming school event. Max believes he can control the outcome by searching for the perfect outfit and trying on different options. Max browses through various stores and tries on different outfits. Max finds an affordable outfit at a department store, but it's not very unique.;Max feels joyful. What did Max prioritize in his outfit choice?;Max prioritized finding an affordable outfit, even if it wasn't as unique.;Max prioritized finding a unique outfit that would make a statement, even if it was expensive.
Ethan, an aspiring actor, is attending a local theater audition for an upcoming play. He is passionate about acting. Ethan believes that his performance at the audition will determine the role he is offered. Ethan performs his audition piece in front of the casting directors. Ethan does not get the leading role, but is offered a supporting role with potential for growth.;Ethan feels joyful. What role did Ethan want in the play?;Ethan wanted a supporting role because it would allow him to learn from more experienced actors and improve his craft. He did not want the leading role because he feared the pressure may be overwhelming.;Ethan wanted the leading role because he believed it would showcase his talent and lead to more acting opportunities. He did not want a supporting role because he feared it may limit his potential.
Eliza, a theater enthusiast, is attending a local theater production and is excited to experience the show and potentially meet some of the actors. Eliza believes that by attending the play and staying afterwards, she can control her enjoyment of the play and the likelihood of meeting the actors. Eliza watches the play. Eliza meets and has engaging conversations with the actors but does not enjoy the play itself.;Eliza feels joyful. What was Eliza's primary goal at the theater?;Eliza's primary goal was to meet and connect with the actors in the play, as she aspires to be an actor herself. She was less concerned about whether she enjoys the play itself.;Eliza's primary goal was to enjoy the theater production, and she believed that the local theater has a good reputation for putting on great shows. She was less concerned about meeting the actors.
Rachel, an art enthusiast, visits a museum to attend a special exhibition featuring her favorite artist. Rachel believes she can control her experience at the museum by actively engaging in the guided tour and asking questions. Rachel explores the museum and attends a guided tour of the special exhibition. Rachel befriends fellow art enthusiasts during the guided tour but does not gain a deeper understanding of her favorite artist's work.;Rachel feels joyful. What was Rachel's primary goal at the museum?;Rachel's primary goal was to connect with fellow art enthusiasts, and she believed attending the guided tour would help her meet like-minded people. She was less concerned about learning more about her favorite artist's work.;Rachel's primary goal was to learn more about her favorite artist's work, and she believed attending the guided tour would help her achieve this. She was less concerned about making friends at the museum.
