Amy, is a high school student applying to college. Amy believes she can control the outcome of her college admissions by crafting a quality application. Amy wants to go to Harvard, and hopes that she is admitted. She also applied to Stanford to appease her parents, but she dislikes Stanford and does not want to attend. Amy completes and submits her college applications. Amy gets into Stanford and is rejected from Harvard.;How does Amy feel?;frustrated;joyful;grateful;disappointed
Johnny is a high school student on the baseball team. He is currently preparing for the conference finals. Johnny believes he can control his chances at getting an offer. Johnny's goal is to receive offers from the Minor Leagues, so he can train and play with an MLB-affiliated team. He does not wish to play university baseball. Johnny invites coaches from university baseball teams and from Minor League Baseball teams to watch him play at the conference finals. Johnny receives offers from multiple universities, but no Minor League teams.;How does Johnny feel?;frustrated;joyful;grateful;disappointed
Emma is a young woman living in a small town. She recently graduated from college and is looking for a job. Emma believes that she can control where she finds a job. Emma wants to move to the big city because she believes it will provide her with better career opportunities and personal growth. She does not want to stay in her hometown because she fears stagnation. Emma applies to various jobs. Emma finds a job in her hometown and cannot find one in the city.;How does Emma feel?;frustrated;joyful;grateful;disappointed
Ben, a freelance graphic designer, is working from home and wants to increase his client base. Ben believes he can control the types of clients he acquires. Ben wants to work with high-profile clients because he believes it will provide him with better career opportunities and financial stability. He does not want to work with local clients because he fears stagnation. Ben creates an online portfolio showcasing his work and shares it on social media platforms. Ben attracts local clients who require graphic design work for their small businesses but does not find high-profile clients.;How does Ben feel?;frustrated;joyful;grateful;disappointed
Ivan, a young man who recently started going to the gym, wants to improve his physical fitness and make new friends. Ivan believes that by attending the group fitness class regularly, he can control his physical fitness improvement and the number of friends he makes. Ivan's primary goal is to make friends at the gym, and he believes attending group fitness classes will help him meet like-minded people. He is less concerned about improving his physical fitness. Ivan attends a group fitness class at the gym. Ivan improves his physical fitness but does not find friends.;How does Ivan feel?;frustrated;joyful;grateful;disappointed
Gary is a high school student who is passionate about music and dreams of becoming a professional musician. He is considering whether to join the school band or the school choir to gain more experience and exposure. Gary believes that he can control his chances of being accepted into either group by preparing well for the auditions and showcasing his talent. Gary wants to join the school choir because he believes it will help him improve his vocal skills and provide him with opportunities to perform in various events. He does not want to join the school band because he thinks it may not give him enough time to focus on his individual music practice. Gary auditions for both the school band and the school choir. Gary is accepted into the school band but not the choir.;How does Gary feel?;frustrated;joyful;grateful;disappointed
Max, a high school student who loves fashion, is at the mall to find a new outfit for an upcoming school event. Max believes he can control the outcome by searching for the perfect outfit and trying on different options. Max wants to find an outfit that is affordable, even if it's not as unique. He doesn't want to spend too much money. Max browses through various stores and tries on different outfits. Max finds a stylish outfit at a boutique, but it's quite expensive.;How does Max feel?;frustrated;joyful;grateful;disappointed
Ethan, an aspiring actor, is attending a local theater audition for an upcoming play. He is passionate about acting. Ethan believes that his performance at the audition will determine the role he is offered. Ethan wants a supporting role because it will allow him to learn from more experienced actors and improve his craft. He does not want the leading role because he fears the pressure may be overwhelming. Ethan performs his audition piece in front of the casting directors. Ethan lands the leading role in the play but does not get offered any supporting roles.;How does Ethan feel?;frustrated;joyful;grateful;disappointed
Eliza, a theater enthusiast, is attending a local theater production and is excited to experience the show and potentially meet some of the actors. Eliza believes that by attending the play and staying afterwards, she can control her enjoyment of the play and the likelihood of meeting the actors. Eliza's primary goal is to meet and connect with the actors in the play, as she aspires to be an actor herself. She is less concerned about whether she enjoys the play itself. Eliza watches the play. Eliza enjoys the play but does not have the opportunity to meet any of the actors.;How does Eliza feel?;frustrated;joyful;grateful;disappointed
Rachel, an art enthusiast, visits a museum to attend a special exhibition featuring her favorite artist. Rachel believes she can control her experience at the museum by actively engaging in the guided tour and asking questions. Rachel's primary goal is to connect with fellow art enthusiasts, and she believes attending the guided tour will help her meet like-minded people. She is less concerned about learning more about her favorite artist's work. Rachel explores the museum and attends a guided tour of the special exhibition. Rachel gains a deeper understanding of her favorite artist's work but does not meet any fellow art enthusiasts.;How does Rachel feel?;frustrated;joyful;grateful;disappointed
