Amy, is a high school student applying to college. Amy believes that she cannot control the outcome of her college admissions. Amy wants to go to Harvard, and hopes that she is admitted. She also applied to Stanford to appease her parents, but she dislikes Stanford and does not want to attend. Amy completes and submits her college applications. Amy gets into Harvard and is rejected from Stanford.;How does Amy feel?;grateful;joyful;frustrated;disappointed
Johnny is a high school student on the baseball team. He is currently preparing for the conference finals. Johnny believes that his chances of receiving an offer are outside his control. Johnny's goal is to receive offers from the Minor Leagues, so he can train and play with an MLB-affiliated team. He does not wish to play university baseball. Johnny invites coaches from university baseball teams and from Minor League Baseball teams to watch him play at the conference finals. Johnny receives offers from Minor League teams, but no university teams.;How does Johnny feel?;grateful;joyful;frustrated;disappointed
Emma is a young woman living in a small town. She recently graduated from college and is looking for a job. Emma believes that her future is uncertain, and the location of her job is outside of her control. Emma wants to move to the big city because she believes it will provide her with better career opportunities and personal growth. She does not want to stay in her hometown because she fears stagnation. Emma applies to various jobs. Emma finds a promising job in the big city and cannot find one in her hometown.;How does Emma feel?;grateful;joyful;frustrated;disappointed
Ben, a freelance graphic designer, is working from home and wants to increase his client base. Ben believes that the types of clients he acquires depends on factors beyond his control. Ben wants to work with high-profile clients because he believes it will provide him with better career opportunities and financial stability. He does not want to work with local clients because he fears stagnation. Ben creates an online portfolio showcasing his work and shares it on social media platforms. Ben attracts high-profile clients who require graphic design work for their multinational corporations but does not find local clients.;How does Ben feel?;grateful;joyful;frustrated;disappointed
Ivan, a young man who recently started going to the gym, wants to improve his physical fitness and make new friends. Ivan believes that his physical fitness improvement and making friends are outside of his control, even if he attends the group fitness class. Ivan's primary goal is to make friends at the gym, and he believes attending group fitness classes will help him meet like-minded people. He is less concerned about improving his physical fitness. Ivan attends a group fitness class at the gym. Ivan becomes friends with other members of the group fitness class but is unable to improve his physical fitness.;How does Ivan feel?;grateful;joyful;frustrated;disappointed
Gary is a high school student who is passionate about music and dreams of becoming a professional musician. He is considering whether to join the school band or the school choir to gain more experience and exposure. Gary believes that the outcome of the auditions is uncertain, and he may not be able to control which group he is accepted into. Gary wants to join the school choir because he believes it will help him improve his vocal skills and provide him with opportunities to perform in various events. He does not want to join the school band because he thinks it may not give him enough time to focus on his individual music practice. Gary auditions for both the school band and the school choir. Gary is accepted into the school choir but not the band.;How does Gary feel?;grateful;joyful;frustrated;disappointed
Max, a high school student who loves fashion, is at the mall to find a new outfit for an upcoming school event. Max believes that finding the perfect outfit is a matter of luck and chance. Max wants to find an outfit that is affordable, even if it's not as unique. He doesn't want to spend too much money. Max browses through various stores and tries on different outfits. Max finds an affordable outfit at a department store, but it's not very unique.;How does Max feel?;grateful;joyful;frustrated;disappointed
Ethan, an aspiring actor, is attending a local theater audition for an upcoming play. He is passionate about acting. Ethan believes that the casting directors' preferences and other factors outside of his control will determine the role he is offered. Ethan wants a supporting role because it will allow him to learn from more experienced actors and improve his craft. He does not want the leading role because he fears the pressure may be overwhelming. Ethan performs his audition piece in front of the casting directors. Ethan does not get the leading role, but is offered a supporting role with potential for growth.;How does Ethan feel?;grateful;joyful;frustrated;disappointed
Eliza, a theater enthusiast, is attending a local theater production and is excited to experience the show and potentially meet some of the actors. Eliza believes that her enjoyment of the play and the chance to meet the actors are outside of her control. Eliza's primary goal is to meet and connect with the actors in the play, as she aspires to be an actor herself. She is less concerned about whether she enjoys the play itself. Eliza watches the play. Eliza meets and has engaging conversations with the actors but does not enjoy the play itself.;How does Eliza feel?;grateful;joyful;frustrated;disappointed
Rachel, an art enthusiast, visits a museum to attend a special exhibition featuring her favorite artist. Rachel believes that her experience at the museum depends on factors beyond her control, such as the quality of the guided tour and the people she meets. Rachel's primary goal is to connect with fellow art enthusiasts, and she believes attending the guided tour will help her meet like-minded people. She is less concerned about learning more about her favorite artist's work. Rachel explores the museum and attends a guided tour of the special exhibition. Rachel befriends fellow art enthusiasts during the guided tour but does not gain a deeper understanding of her favorite artist's work.;How does Rachel feel?;grateful;joyful;frustrated;disappointed
