Amy, is a high school student applying to college. Amy believes that she cannot control the outcome of her college admissions. Amy wants to go to Stanford, and hopes that she is admitted. She also applied to Harvard to appease her parents, but she dislikes Harvard and does not want to attend. Amy completes and submits her college applications. Amy gets into Harvard and is rejected from Stanford.;Annie/disappointed.png;How does Amy feel?;disappointed;joyful;frustrated;grateful
Johnny is a high school student on the baseball team. He is currently preparing for the conference finals. Johnny believes that his chances of receiving an offer are outside his control. Johnny's goal is to receive offers from University teams, so he can train in college and have a chance of getting drafted to the MLB. He does not want to play in the Minor Leagues. Johnny invites coaches from university baseball teams and from Minor League Baseball teams to watch him play at the conference finals. Johnny receives offers from Minor League teams, but no university teams.;Glenda/disappointed.png;How does Johnny feel?;disappointed;joyful;frustrated;grateful
Emma is a young woman living in a small town. She recently graduated from college and is looking for a job. Emma believes that her future is uncertain, and the location of her job is outside of her control. Emma wants to stay in her hometown because she values her close relationships with family and friends. She does not want to move to the big city because she fears losing those connections. Emma applies to various jobs. Emma finds a promising job in the big city and cannot find one in her hometown.;Chanda/disappointed.png;How does Emma feel?;disappointed;joyful;frustrated;grateful
Ben, a freelance graphic designer, is working from home and wants to increase his client base. Ben believes that the types of clients he acquires depends on factors beyond his control. Ben wants to work with local clients because he values supporting small businesses and enjoys building personal relationships with his clients. He does not want to work with high-profile clients because he fears he won't be able to handle the pressure. Ben creates an online portfolio showcasing his work and shares it on social media platforms. Ben attracts high-profile clients who require graphic design work for their multinational corporations but does not find local clients.;Hana/disappointed.png;How does Ben feel?;disappointed;joyful;frustrated;grateful
Ivan, a young man who recently started going to the gym, wants to improve his physical fitness and make new friends. Ivan believes that his physical fitness improvement and making friends are outside of his control, even if he attends the group fitness class. Ivan's primary goal is to improve his physical fitness, and he believes attending group fitness classes will help him achieve this. He is less concerned about making friends at the gym. Ivan attends a group fitness class at the gym. Ivan becomes friends with other members of the group fitness class but is unable to improve his physical fitness.;Oskar/disappointed.png;How does Ivan feel?;disappointed;joyful;frustrated;grateful
Gary is a high school student who is passionate about music and dreams of becoming a professional musician. He is considering whether to join the school band or the school choir to gain more experience and exposure. Gary believes that the outcome of the auditions is uncertain, and he may not be able to control which group he is accepted into. Gary wants to join the school band because he believes it will help him develop his skills as a musician and provide him with opportunities to perform in various events. He does not want to join the school choir because he is not as confident in his singing abilities. Gary auditions for both the school band and the school choir. Gary is accepted into the school choir but not the band.;Annie/disappointed.png;How does Gary feel?;disappointed;joyful;frustrated;grateful
Max, a high school student who loves fashion, is at the mall to find a new outfit for an upcoming school event. Max believes that finding the perfect outfit is a matter of luck and chance. Max wants to find a unique outfit that will make a statement, even if it's expensive. He doesn't want to settle for a common outfit. Max browses through various stores and tries on different outfits. Max finds an affordable outfit at a department store, but it's not very unique.;Glenda/disappointed.png;How does Max feel?;disappointed;joyful;frustrated;grateful
Ethan, an aspiring actor, is attending a local theater audition for an upcoming play. He is passionate about acting. Ethan believes that the casting directors' preferences and other factors outside of his control will determine the role he is offered. Ethan wants the leading role because he believes it will showcase his talent and lead to more acting opportunities. He does not want a supporting role because he fears it may limit his potential. Ethan performs his audition piece in front of the casting directors. Ethan does not get the leading role, but is offered a supporting role with potential for growth.;Chanda/disappointed.png;How does Ethan feel?;disappointed;joyful;frustrated;grateful
Eliza, a theater enthusiast, is attending a local theater production and is excited to experience the show and potentially meet some of the actors. Eliza believes that her enjoyment of the play and the chance to meet the actors are outside of her control. Eliza's primary goal is to enjoy the theater production, and she believes that the local theater has a good reputation for putting on great shows. She is less concerned about meeting the actors. Eliza watches the play. Eliza meets and has engaging conversations with the actors but does not enjoy the play itself.;Hana/disappointed.png;How does Eliza feel?;disappointed;joyful;frustrated;grateful
Rachel, an art enthusiast, visits a museum to attend a special exhibition featuring her favorite artist. Rachel believes that her experience at the museum depends on factors beyond her control, such as the quality of the guided tour and the people she meets. Rachel's primary goal is to learn more about her favorite artist's work, and she believes attending the guided tour will help her achieve this. She is less concerned about making friends at the museum. Rachel explores the museum and attends a guided tour of the special exhibition. Rachel befriends fellow art enthusiasts during the guided tour but does not gain a deeper understanding of her favorite artist's work.;Oskar/disappointed.png;How does Rachel feel?;disappointed;joyful;frustrated;grateful
