Sarah, a solo hiker, is navigating a challenging trail on a mountain. Sarah expects the weather to be pleasant. Sarah thinks that if she encounters snowfall it would be safe and make her hike more picturesque. She thinks that if she sees fog, it could be dangerous since she could lose the trail and get injured from unseen obstacles. Sarah starts her ascent.;Annie/surprised.png; Did Sarah encounter fog or snowfall?;Snowfall;Fog
Julian, an entrepreneur, is preparing to pitch his startup to a panel of investors. Julian does not expect any challenges or questions since he is confident his pitch covers everything. Julian thinks that if the investors criticize the product's market fit, it would be safe as it would provide clear feedback for improvement. He thinks that if they question long-term viability, it would be dangerous because it might lead to a tepid investment without strong support. Julian presents his business plan and product prototype.;Glenda/surprised.png; Did the investors criticize the product's market fit or question long-term viability?;Criticized the product's market fit;Questioned long-term viability
Ben, a scientist, is conducting an experiment to create a new chemical compound with potential medical applications. Ben expects the experiment to go smoothly without any issues. Ben thinks that if the mixture produces a toxic gas, it would be safe since he can quickly evacuate and the lab has a proper ventilation system. He thinks that if the mixture causes an explosion, it would be dangerous and could damage the lab and his equipment. Ben mixes the chemicals according to his hypothesis.;Chanda/surprised.png; Did the mixture produce a toxic gas or cause an explosion?;Produced a toxic gas;Caused an explosion
Helen, a politician, is preparing for a crucial debate against her opponent in the race for mayor. Helen expects the debate to go smoothly. Helen thinks that if she gets grilled by the moderator, it would be safe since it would show her ability to handle tough questions. She thinks that if her opponent launches a personal attack, it would be dangerous since it could damage her reputation and distract from her policy proposals. Helen practices her arguments and counterarguments.;Hana/surprised.png; Did Helen get grilled by the moderator or face a personal attack from her opponent?;Grilled by the moderator;Personal attack from her opponent
Penelope, a talented musician, is preparing for her first live concert after months of practicing and composing new songs. Penelope expects the concert to go smoothly without any issues. Penelope thinks that if her guitar string breaks, it would be safe since she has a backup guitar and can quickly recover. She thinks that if the sound system malfunctions, it would be dangerous and could ruin the entire concert experience for her fans. Penelope begins her performance on stage.;Oskar/surprised.png; Did Penelope experience a broken guitar string or a sound system malfunction?;Broken guitar string;Sound system malfunction
Xavier, a waiter at a high-end restaurant, is preparing to serve a large group of influential guests who have made a last-minute reservation. Xavier expects the dinner service to go smoothly without any issues. Xavier thinks that if he spills a drink on a guest, it would be safe since he can quickly apologize and clean up the mess. He thinks that if he serves the wrong dish, it would be dangerous since it could cause an allergic reaction or offend the guest. Xavier meticulously sets the table and practices the menu presentation.;Annie/surprised.png; Did Xavier spill a drink on a guest or serve the wrong dish to a guest?;Spilled a drink on a guest;Served the wrong dish
Zara, a passionate baker, is participating in a prestigious baking competition where she needs to create a new and innovative dessert. Zara expects her dessert to be perfect and well-received. Zara thinks that if her dessert fails to set, it would be safe since she can explain the innovative concept and the judges might appreciate her creativity. She thinks that if the judges find her dessert too sweet, it would be dangerous since it could be seen as a lack of skill and understanding of flavor balance. Zara starts baking her unique dessert creation.;Glenda/surprised.png; Did Zara's dessert fail to set or was it criticized for being too sweet?;Failed to set;Criticized for being too sweet
Zachary, a talented designer, is preparing to showcase his latest collection at a prestigious fashion show. Zachary expects the fashion show to go smoothly without any issues. Zachary thinks that if a model trips, it would be safe since it's a common occurrence in fashion shows and can be quickly resolved. He thinks that if his collection receives mixed reviews, it would be dangerous since it could hurt his reputation and future opportunities. Zachary presents his designs on the runway.;Chanda/surprised.png; Did a model trip on the runway or did Zachary's collection receive mixed reviews?;Model tripped on the runway;Collection received mixed reviews
Charles, a farmer, is preparing for the upcoming harvest season by planting a new crop variety. Charles expects the growing season to go smoothly without any issues. Charles thinks that if the crop is infested with pests, it would be safe since he can apply appropriate pest control measures. He thinks that if the crop is affected by drought, it would be dangerous since it could lead to a significant loss in yield and income. Charles sows the seeds and follows the recommended cultivation practices.;Hana/surprised.png; Did Charles experience a pest infestation or a drought affecting his crop?;Pest infestation;Drought
Rachel, an engineer, is working on a new bridge design for a busy city intersection. Rachel expects the city council to approve her design without any issues. Rachel thinks that if the council questions the structural integrity, it would be safe since it would allow her to improve the design and ensure public safety. She thinks that if they question the cost-effectiveness, it would be dangerous as it might lead to the project being canceled or delayed. Rachel presents her bridge design to the city council for approval.;Oskar/surprised.png; Did the city council question the structural integrity or the cost-effectiveness of the design?;Questioned the structural integrity;Questioned the cost-effectiveness
